"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Software Renewal Program","Corporate Support Services","3458200015","Prosperity","Organizational Support Services","0","70","157","0","0","157","0"
"Data Warehouse / Business Intelligence","Corporate Support Services","3456000015","Prosperity","Organizational Support Services","N/A *","218","0","0","150","175","175"
"311 Renewal","Corporate Support Services","3457000015","Prosperity","Organizational Support Services","646","250","100","450","250","100","450"
"Teraspan Fibre Ring Renewal","Corporate Support Services","3462200015","Prosperity","Organizational Support Services","0","635","119","0","0","0","0"
"Infrastructure Service Enhancements","Corporate Support Services","3454000015","Prosperity","Organizational Support Services","100","0","150","50","0","50","0"
"Enterprise Content Management (formerly Document Management)","Corporate Support Services","3470000015","Prosperity","Organizational Support Services","300","275","0","0","0","0","0"
"Candidate Gateway","Corporate Support Services","3459100015","Prosperity","Organizational Support Services","0","203","721","218","0","0","0"
"Facilities Replacement, Relocation and Enhancement Program","Fire Paramedic Service","211101XXXX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","N/A *","1,477","3,120","1,268","3,225","6,339","4,169"
"Replacement Radio System","Fire Paramedic Service","2101010015","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","0","2,000","4,000","0","0","0","0"
"Equipment Obsolescence","Fire Paramedic Service","2111010817","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","0","0","445","3,457","0","0","0"
"911 Call Centre Resilience","Fire Paramedic Service","211101XXXX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","-","735","0","160","215","0","0"
"Computer Aided Dispatch (CAD)","Fire Paramedic Service","211101XXXX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","-","200","3,852","2,080","0","0","0"
